Produto;Ano;UF de Origem;UF de Destino;Unidade;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;Total
Biodiesel B100;2019;SP;PE;m³;;;;;;;; 247 ;;;;; 247 
Biodiesel B100;2019;SP;RJ;m³; 977 ; 454 ; 223 ; 205 ; 112 ; 40 ; 120 ; 140 ;;;;; 2.270 
Biodiesel B100;2019;SP;SP;m³; 10.698 ; 11.168 ; 9.002 ; 11.547 ; 14.629 ; 16.483 ; 13.418 ; 11.872 ;;;;; 98.816 
Biodiesel B100;2019;TO;BA;m³;;;;;;; 722 ; 57 ;;;;; 779 
Biodiesel B100;2019;TO;DF;m³; 1.538 ; 1.704 ; 3.859 ; 4.138 ; 1.647 ; 2.054 ; 2.563 ; 2.861 ;;;;; 20.364 
Biodiesel B100;2019;TO;MA;m³; 3.148 ; 1.583 ; 1.253 ; 1.345 ; 3.967 ; 4.503 ; 4.202 ; 5.623 ;;;;; 25.624 
Biodiesel B100;2019;TO;PA;m³; 300 ; 598 ; 169 ; 87 ; 1.554 ; 1.548 ; 1.995 ; 490 ;;;;; 6.741 
Biodiesel B100;2019;TO;PE;m³;;;; 782 ;;;;;;;;; 782 
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
